Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
102,2019-11-04 04:05:00+00:00,2019-11-11 04:00:00+00:00,0,0,0,0.0
103,2019-11-11 04:05:00+00:00,2019-11-18 04:00:00+00:00,0,0,0,0.0
104,2019-11-18 04:05:00+00:00,2019-11-25 04:00:00+00:00,0,0,0,0.0
105,2019-11-25 04:05:00+00:00,2019-12-02 04:00:00+00:00,0,0,0,0.0
106,2019-12-02 04:05:00+00:00,2019-12-09 04:00:00+00:00,0,0,0,0.0
107,2019-12-09 04:05:00+00:00,2019-12-16 04:00:00+00:00,0,0,0,0.0
108,2019-12-16 04:05:00+00:00,2019-12-23 04:00:00+00:00,0,0,0,0.0
109,2019-12-23 04:05:00+00:00,2019-12-30 04:00:00+00:00,0,0,0,0.0
110,2019-12-30 04:05:00+00:00,2020-01-06 04:00:00+00:00,0,0,0,0.0
111,2020-01-06 04:05:00+00:00,2020-01-13 04:00:00+00:00,0,0,0,0.0
112,2020-01-13 04:05:00+00:00,2020-01-20 04:00:00+00:00,0,0,0,0.0
113,2020-01-20 04:05:00+00:00,2020-01-27 04:00:00+00:00,0,0,0,0.0
114,2020-01-27 04:05:00+00:00,2020-02-03 04:00:00+00:00,0,0,0,0.0
115,2020-02-03 04:05:00+00:00,2020-02-10 04:00:00+00:00,0,0,0,0.0
116,2020-02-10 04:05:00+00:00,2020-02-17 04:00:00+00:00,1,0,1,-0.015210980000000013
117,2020-02-17 04:05:00+00:00,2020-02-24 04:00:00+00:00,0,0,0,0.0
118,2020-02-24 04:05:00+00:00,2020-03-02 04:00:00+00:00,0,0,0,0.0
119,2020-03-02 04:05:00+00:00,2020-03-09 04:00:00+00:00,0,0,0,0.0
120,2020-03-09 04:05:00+00:00,2020-03-16 04:00:00+00:00,1,1,0,0.023082319999999934
121,2020-03-16 04:05:00+00:00,2020-03-23 04:00:00+00:00,4,0,4,-0.06085922000000038
122,2020-03-23 04:05:00+00:00,2020-03-30 04:00:00+00:00,0,0,0,0.0
123,2020-03-30 04:05:00+00:00,2020-04-06 04:00:00+00:00,0,0,0,0.0
124,2020-04-06 04:05:00+00:00,2020-04-13 04:00:00+00:00,0,0,0,0.0
125,2020-04-13 04:05:00+00:00,2020-04-20 04:00:00+00:00,0,0,0,0.0
126,2020-04-20 04:05:00+00:00,2020-04-27 04:00:00+00:00,0,0,0,0.0
127,2020-04-27 04:05:00+00:00,2020-05-04 04:00:00+00:00,0,0,0,0.0
128,2020-05-04 04:05:00+00:00,2020-05-11 04:00:00+00:00,0,0,0,0.0
129,2020-05-11 04:05:00+00:00,2020-05-18 04:00:00+00:00,0,0,0,0.0
130,2020-05-18 04:05:00+00:00,2020-05-25 04:00:00+00:00,0,0,0,0.0
131,2020-05-25 04:05:00+00:00,2020-06-01 04:00:00+00:00,0,0,0,0.0
132,2020-06-01 04:05:00+00:00,2020-06-08 04:00:00+00:00,0,0,0,0.0
133,2020-06-08 04:05:00+00:00,2020-06-15 04:00:00+00:00,0,0,0,0.0
134,2020-06-15 04:05:00+00:00,2020-06-22 04:00:00+00:00,0,0,0,0.0
135,2020-06-22 04:05:00+00:00,2020-06-29 04:00:00+00:00,0,0,0,0.0
136,2020-06-29 04:05:00+00:00,2020-07-06 04:00:00+00:00,0,0,0,0.0
137,2020-07-06 04:05:00+00:00,2020-07-13 04:00:00+00:00,0,0,0,0.0
138,2020-07-13 04:05:00+00:00,2020-07-20 04:00:00+00:00,0,0,0,0.0
139,2020-07-20 04:05:00+00:00,2020-07-27 04:00:00+00:00,0,0,0,0.0
140,2020-07-27 04:05:00+00:00,2020-08-03 04:00:00+00:00,0,0,0,0.0
141,2020-08-03 04:05:00+00:00,2020-08-10 04:00:00+00:00,0,0,0,0.0
142,2020-08-10 04:05:00+00:00,2020-08-17 04:00:00+00:00,0,0,0,0.0
143,2020-08-17 04:05:00+00:00,2020-08-24 04:00:00+00:00,0,0,0,0.0
144,2020-08-24 04:05:00+00:00,2020-08-31 04:00:00+00:00,0,0,0,0.0
145,2020-08-31 04:05:00+00:00,2020-09-07 04:00:00+00:00,0,0,0,0.0
146,2020-09-07 04:05:00+00:00,2020-09-14 04:00:00+00:00,0,0,0,0.0
147,2020-09-14 04:05:00+00:00,2020-09-21 04:00:00+00:00,0,0,0,0.0
148,2020-09-21 04:05:00+00:00,2020-09-28 04:00:00+00:00,0,0,0,0.0
149,2020-09-28 04:05:00+00:00,2020-10-05 04:00:00+00:00,0,0,0,0.0
150,2020-10-05 04:05:00+00:00,2020-10-12 04:00:00+00:00,0,0,0,0.0
151,2020-10-12 04:05:00+00:00,2020-10-19 04:00:00+00:00,0,0,0,0.0
152,2020-10-19 04:05:00+00:00,2020-10-26 04:00:00+00:00,0,0,0,0.0
153,2020-10-26 04:05:00+00:00,2020-11-02 04:00:00+00:00,0,0,0,0.0
154,2020-11-02 04:05:00+00:00,2020-11-09 04:00:00+00:00,0,0,0,0.0
155,2020-11-09 04:05:00+00:00,2020-11-16 04:00:00+00:00,0,0,0,0.0
156,2020-11-16 04:05:00+00:00,2020-11-23 04:00:00+00:00,0,0,0,0.0
157,2020-11-23 04:05:00+00:00,2020-11-30 04:00:00+00:00,0,0,0,0.0
158,2020-11-30 04:05:00+00:00,2020-12-07 04:00:00+00:00,0,0,0,0.0
159,2020-12-07 04:05:00+00:00,2020-12-14 04:00:00+00:00,0,0,0,0.0
160,2020-12-14 04:05:00+00:00,2020-12-21 04:00:00+00:00,0,0,0,0.0
161,2020-12-21 04:05:00+00:00,2020-12-28 04:00:00+00:00,0,0,0,0.0
162,2020-12-28 04:05:00+00:00,2021-01-04 04:00:00+00:00,0,0,0,0.0
163,2021-01-04 04:05:00+00:00,2021-01-11 04:00:00+00:00,0,0,0,0.0
164,2021-01-11 04:05:00+00:00,2021-01-18 04:00:00+00:00,0,0,0,0.0
165,2021-01-18 04:05:00+00:00,2021-01-25 04:00:00+00:00,0,0,0,0.0
166,2021-01-25 04:05:00+00:00,2021-02-01 04:00:00+00:00,0,0,0,0.0
167,2021-02-01 04:05:00+00:00,2021-02-08 04:00:00+00:00,0,0,0,0.0
168,2021-02-08 04:05:00+00:00,2021-02-15 04:00:00+00:00,0,0,0,0.0
169,2021-02-15 04:05:00+00:00,2021-02-22 04:00:00+00:00,0,0,0,0.0
170,2021-02-22 04:05:00+00:00,2021-03-01 04:00:00+00:00,0,0,0,0.0
171,2021-03-01 04:05:00+00:00,2021-03-08 04:00:00+00:00,0,0,0,0.0
172,2021-03-08 04:05:00+00:00,2021-03-15 04:00:00+00:00,0,0,0,0.0
173,2021-03-15 04:05:00+00:00,2021-03-22 04:00:00+00:00,0,0,0,0.0
174,2021-03-22 04:05:00+00:00,2021-03-29 04:00:00+00:00,0,0,0,0.0
175,2021-03-29 04:05:00+00:00,2021-04-05 04:00:00+00:00,0,0,0,0.0
176,2021-04-05 04:05:00+00:00,2021-04-12 04:00:00+00:00,0,0,0,0.0
177,2021-04-12 04:05:00+00:00,2021-04-19 04:00:00+00:00,0,0,0,0.0
178,2021-04-19 04:05:00+00:00,2021-04-26 04:00:00+00:00,0,0,0,0.0
179,2021-04-26 04:05:00+00:00,2021-05-03 04:00:00+00:00,0,0,0,0.0
180,2021-05-03 04:05:00+00:00,2021-05-10 04:00:00+00:00,0,0,0,0.0
181,2021-05-10 04:05:00+00:00,2021-05-17 04:00:00+00:00,0,0,0,0.0
182,2021-05-17 04:05:00+00:00,2021-05-24 04:00:00+00:00,0,0,0,0.0
